"ID","LEVEL_ID","ELEVATION","OBJECT_STYLE","WIDTH","DEPTH","HEIGHT","VOLUME","MARK"
"202493","100001","150.00","2","2000.00","20.00","500.00","0.01",""
"202494","100001","150.00","2","2000.00","20.00","500.00","0.01",""
"202495","100001","150.00","2","2000.00","20.00","500.00","0.01",""
"202496","100001","2380.00","3","5369.28","8400.00","494.26","0.90",""
